pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance
2098,502042,Chris Archer,2098,100.0,0.249,0.212,0.304,0.461,0.338,0.347,0.265,114,458,88.0,13.2,2309,91.1,90.48,284,956,1130,-0.6,5.70,109,149,121,148,306,325,300
2090,605182,Mike Clevinger,2090,100.0,0.209,0.122,0.306,0.331,0.263,0.264,0.206,96,459,86.1,12.9,2291,88.6,89.08,337,954,1132,0.5,6.42,109,153,116,150,288,312,293
2060,605347,Jorge Lopez,2060,100.0,0.286,0.227,0.314,0.513,0.364,0.359,0.272,140,489,90.3,10.0,2080,89.3,89.10,197,917,1128,-0.2,6.07,111,151,121,139,301,327,302
2057,642232,Ryan Yarbrough,2057,100.0,0.228,0.155,0.264,0.383,0.276,0.293,0.258,121,530,84.1,14.4,2148,82.4,81.90,227,1014,1028,-0.5,6.00,107,153,114,146,292,322,293
2056,592716,Adrian Sampson,2056,100.0,0.302,0.266,0.327,0.568,0.387,0.373,0.300,156,516,90.5,15.0,2186,89.0,88.44,217,1011,1030,-0.6,5.99,107,153,112,148,294,322,302
2047,642558,Ariel Jurado,2047,100.0,0.304,0.222,0.322,0.526,0.366,0.365,0.298,148,487,89.1,9.0,1948,89.4,88.95,170,940,1098,-0.5,5.97,108,152,113,147,293,323,299
2028,595881,Tyler Beede,2028,100.0,0.271,0.190,0.313,0.462,0.342,0.343,0.266,127,468,90.8,11.5,2168,89.5,89.19,244,932,1087,-0.3,6.02,110,154,115,149,299,329,300
2001,643230,Steven Brault,2001,100.0,0.265,0.172,0.313,0.438,0.342,0.340,0.265,117,441,89.0,9.1,1992,88.7,89.94,211,904,1087,1.2,6.82,109,151,120,147,308,324,295
1985,630023,Yonny Chirinos,1985,100.0,0.225,0.189,0.246,0.414,0.290,0.321,0.260,112,498,87.5,11.2,2072,90.7,90.41,221,978,997,-0.3,6.12,108,160,117,148,292,325,298
1979,605540,Brandon Woodruff,1979,100.0,0.240,0.117,0.322,0.357,0.283,0.284,0.237,109,454,85.6,12.3,2181,93.1,93.15,258,1010,959,0.0,6.26,110,156,114,152,300,319,291
1956,519141,Drew Pomeranz,1956,100.0,0.261,0.206,0.340,0.467,0.344,0.315,0.234,105,403,88.7,13.5,2368,88.6,86.43,239,888,1057,-2.2,4.96,108,151,113,147,300,323,295
1955,453281,Wade LeBlanc,1955,100.0,0.291,0.243,0.309,0.534,0.364,0.344,0.282,145,498,89.1,13.6,1861,81.7,81.26,204,918,1033,-0.4,5.94,106,153,115,146,300,317,286
1945,468504,Jhoulys Chacin,1945,100.0,0.280,0.241,0.311,0.521,0.369,0.353,0.273,115,411,88.5,16.3,2165,84.4,83.20,171,824,1107,-1.2,5.42,111,157,116,152,298,319,295
1899,605156,Aaron Brooks,1899,100.0,0.271,0.222,0.290,0.493,0.352,0.345,0.270,118,436,89.1,11.5,2064,88.6,87.88,170,870,1015,-0.7,5.83,108,152,117,149,297,324,298
1892,668676,Zach Plesac,1892,100.0,0.237,0.200,0.257,0.437,0.318,0.347,0.279,102,430,89.1,14.2,1974,89.1,88.44,194,895,989,-0.7,5.80,110,152,115,150,290,313,291
1891,605483,Blake Snell,1891,100.0,0.241,0.150,0.343,0.391,0.304,0.264,0.205,96,399,88.0,14.5,2273,89.5,89.69,354,924,965,0.2,6.40,106,152,111,145,293,319,290
1888,592314,Mike Foltynewicz,1888,100.0,0.244,0.215,0.270,0.460,0.323,0.329,0.260,109,446,87.8,14.0,2259,89.9,89.66,216,918,964,-0.2,6.02,110,151,112,150,305,327,298
1866,519455,Jordan Zimmermann,1866,100.0,0.311,0.215,0.341,0.526,0.368,0.371,0.310,145,466,89.3,12.2,2278,86.9,86.62,177,869,986,-0.3,5.92,110,149,112,148,296,331,293
1864,572971,Dallas Keuchel,1864,100.0,0.265,0.161,0.303,0.426,0.331,0.332,0.268,115,434,88.0,2.3,1999,85.5,85.24,176,831,1003,-0.3,5.89,107,151,114,148,308,328,297
1862,456034,David Price,1862,100.0,0.258,0.182,0.336,0.441,0.323,0.308,0.245,109,422,88.0,12.4,2093,89.0,88.16,230,885,965,-0.8,5.84,107,149,115,149,288,323,287
1821,656222,Jalen Beeks,1821,100.0,0.281,0.154,0.329,0.435,0.340,0.340,0.274,115,409,87.8,9.6,2071,87.0,86.65,201,831,977,-0.3,6.10,106,155,112,146,291,322,296
1815,593679,Gabriel Ynoa,1815,100.0,0.280,0.256,0.273,0.536,0.359,0.358,0.286,126,450,89.9,11.1,2105,89.5,88.45,182,906,905,-1.1,5.58,108,153,116,148,300,326,299
1810,605288,Adrian Houser,1810,100.0,0.244,0.155,0.304,0.399,0.305,0.281,0.226,101,414,86.0,4.4,2108,91.1,91.57,194,799,996,0.5,6.39,109,157,114,150,302,320,296
1796,641154,Pablo Lopez,1796,100.0,0.261,0.174,0.303,0.435,0.322,0.321,0.260,111,425,87.3,9.2,2089,89.1,89.86,205,868,909,0.8,6.73,107,156,117,148,298,323,298
1794,592644,Adam Plutko,1794,100.0,0.267,0.221,0.280,0.488,0.337,0.326,0.270,115,430,87.9,19.8,2307,87.6,87.06,167,886,903,-0.5,5.83,111,152,117,150,291,315,289
1789,621381,Matt Strahm,1789,100.0,0.267,0.210,0.315,0.477,0.331,0.326,0.263,121,453,88.0,14.7,2356,86.8,85.91,210,903,874,-0.9,5.67,113,152,115,149,306,327,302
